full_id,name,full_id_2,name_2
w4832869,Avenida Manco Cápac,w319788723,Avenida Manco Cápac
w4832869,Avenida Manco Cápac,w1146112613,Avenida Manco Cápac
w4832869,Avenida Manco Cápac,w1021325941,Avenida Almirante Miguel Grau
w4832869,Avenida Manco Cápac,w319662804,Avenida Almirante Miguel Grau
w24295160,Avenida Mexico,w317310787,Avenida Mexico
w24295160,Avenida Mexico,w338241851,Vía Expresa Luis Fernán Bedoya Reyes
w24305428,Avenida Mexico,w319647128,Avenida Mexico
w24305428,Avenida Mexico,w397491214,Avenida Mexico
w28796818,Avenida Aviación,w316901497,Avenida Aviación
w28796818,Avenida Aviación,w1146813185,Avenida Aviación
w28796818,Avenida Aviación,w90289133,Calle Juan Jose Mostajo
w28796818,Avenida Aviación,w314787100,Óvalo de Arriola
w28796818,Avenida Aviación,w90289138,Calle Los Alisos
w28797435,Avenida Circunvalación,w335056403,Avenida Circunvalación
w28797435,Avenida Circunvalación,w319664464,Avenida Nicolás de Ayllón
w28797435,Avenida Circunvalación,w320464643,Avenida Nicolás de Ayllón
w28797435,Avenida Circunvalación,w671786201,Avenida Circunvalación
w28797591,Avenida Manco Cápac,w35556738,Jirón Juan Francisco Rivas
w28797591,Avenida Manco Cápac,w324587998,Avenida Mexico
w28797591,Avenida Manco Cápac,w35556857,Londres
w28797591,Avenida Manco Cápac,w338239945,Avenida Mexico
w28797591,Avenida Manco Cápac,w338242027,Avenida Manco Cápac
w28798380,Avenida Nicolás Arriola,w261105735,Avenida Nicolás Arriola
w28798380,Avenida Nicolás Arriola,w436615515,Avenida Javier Prado Este
w28798397,Avenida Nicolás Arriola,w35139482,Avenida de Las Américas
w28798397,Avenida Nicolás Arriola,w893125823,Avenida Canadá
w28798397,Avenida Nicolás Arriola,w35116500,Calle Bateria Maipu
w28798397,Avenida Nicolás Arriola,w427826838,Bateria Independencia
w28798397,Avenida Nicolás Arriola,w1152014833,Avenida Nicolás Arriola
w28798397,Avenida Nicolás Arriola,w314787100,Óvalo de Arriola
w34188453,Avenida José Galvez Barrenechea,w314735731,Avenida José Galvez Barrenechea
w34188453,Avenida José Galvez Barrenechea,w621598331,Avenida Javier Prado Este
w34188453,Avenida José Galvez Barrenechea,w1025935729,Avenida Javier Prado Este
w34188463,Avenida José Galvez Barrenechea,w1008734401,Avenida José Galvez Barrenechea
w34188463,Avenida José Galvez Barrenechea,w399535217,Avenida José Galvez Barrenechea
w34188463,Avenida José Galvez Barrenechea,w260864593,Avenida Javier Prado Este
w34188651,Avenida Del Aire,w316901497,Avenida Aviación
w34188651,Avenida Del Aire,w1148982874,Avenida Guardia Civil
w34188651,Avenida Del Aire,w316943981,Avenida Aviación
w34861540,Calle Brillantes,w34861555,Los Zafiros
w34861540,Calle Brillantes,w1152220667,Calle Brillantes
w34861540,Calle Brillantes,w427900449,Las Turquesas
w34861540,Calle Brillantes,w34861553,Calle Las Ágatas
w34861542,Avenida de Las Américas,w34861544,Esmeraldas
w34861542,Avenida de Las Américas,w621806877,Jirón Los Diamantes
w34861542,Avenida de Las Américas,w319650840,Parque Union Panamericana
w34861542,Avenida de Las Américas,w1152220667,Calle Brillantes
w34861542,Avenida de Las Américas,w338241848,Avenida Paseo de la República
w34861543,Calle Los Opalos,w338241848,Avenida Paseo de la República
w34861543,Calle Los Opalos,w427828149,Calle Brillantes
w34861544,Esmeraldas,w291070374,Esmeraldas
w34861544,Esmeraldas,w291070373,Jirón Topacios
w34861544,Esmeraldas,w293235799,Avenida de Las Américas
w34861544,Esmeraldas,w427900449,Las Turquesas
w34861544,Esmeraldas,w34861561,Los Rubies
w34861544,Esmeraldas,w35101890,Las Amatistas
w34861544,Esmeraldas,w34861555,Los Zafiros
w34861544,Esmeraldas,w153125109,Jirón Topacios
w34861544,Esmeraldas,w34861556,Las Turquesas
w34861544,Esmeraldas,w338239943,Avenida Mexico
w34861544,Esmeraldas,w34861542,Avenida de Las Américas
w34861550,Avenida Palermo,w340053059,Avenida Canadá
w34861550,Avenida Palermo,w340053063,Avenida Palermo
w34861550,Avenida Palermo,w1148993516,Esmeraldas
w34861550,Avenida Palermo,w319650840,Parque Union Panamericana
w34861550,Avenida Palermo,w621806877,Jirón Los Diamantes
w34861550,Avenida Palermo,w416503210,
w34861550,Avenida Palermo,w338241849,Avenida Canadá
w34861551,Avenida Palermo,w291070374,Esmeraldas
w34861551,Avenida Palermo,w340053059,Avenida Canadá
w34861551,Avenida Palermo,w1148993516,Esmeraldas
w34861551,Avenida Palermo,w475657965,Avenida Palermo
w34861551,Avenida Palermo,w319650840,Parque Union Panamericana
w34861551,Avenida Palermo,w621806877,Jirón Los Diamantes
w34861552,Espinoza,w340053059,Avenida Canadá
w34861552,Espinoza,w427823641,Espinoza
w34861552,Espinoza,w34861553,Calle Las Ágatas
w34861553,Calle Las Ágatas,w34861554,Los Brillantes
w34861553,Calle Las Ágatas,w35101887,Avenida Paseo de la República
w34861553,Calle Las Ágatas,w338241848,Avenida Paseo de la República
w34861553,Calle Las Ágatas,w34861540,Calle Brillantes
w34861553,Calle Las Ágatas,w427823641,Espinoza
w34861553,Calle Las Ágatas,w34861552,Espinoza
w34861554,Los Brillantes,w340053059,Avenida Canadá
w34861554,Los Brillantes,w279881624,Los Brillantes
w34861554,Los Brillantes,w34861553,Calle Las Ágatas
w34861555,Los Zafiros,w291070374,Esmeraldas
w34861555,Los Zafiros,w34861540,Calle Brillantes
w34861555,Los Zafiros,w34861544,Esmeraldas
w34861556,Las Turquesas,w427900449,Las Turquesas
w34861556,Las Turquesas,w621806877,Jirón Los Diamantes
w34861556,Las Turquesas,w34861544,Esmeraldas
w34861557,,w291070374,Esmeraldas
w34861557,,w427821718,Parque Coronel Luna y Peralta
w34861557,,w427823641,Espinoza
w34861561,Los Rubies,w282068510,Pasaje Los Jacintos
w34861561,Los Rubies,w427828149,Calle Brillantes
w34861561,Los Rubies,w34861544,Esmeraldas
w34861561,Los Rubies,w134920923,Jirón Los Corales
w34861561,Los Rubies,w416503202,
w34861562,Jirón Topacios,w1148997038,Jirón Topacios
w34861562,Jirón Topacios,w134920923,Jirón Los Corales
w34861562,Jirón Topacios,w291070371,Jirón Topacios
w35101887,Avenida Paseo de la República,w340053059,Avenida Canadá
w35101887,Avenida Paseo de la República,w338241848,Avenida Paseo de la República
w35101887,Avenida Paseo de la República,w39441402,Avenida Canadá
w35101887,Avenida Paseo de la República,w34861553,Calle Las Ágatas
w35101887,Avenida Paseo de la República,w1146779084,Avenida Paseo de la República
w35101888,Jirón Topacios,w291070373,Jirón Topacios
w35101888,Jirón Topacios,w153125109,Jirón Topacios
w35101888,Jirón Topacios,w35101889,Calle Los Topacios
w35101889,Calle Los Topacios,w35101888,Jirón Topacios
w35101889,Calle Los Topacios,w338241848,Avenida Paseo de la República
w35101889,Calle Los Topacios,w427828149,Calle Brillantes
w35101890,Las Amatistas,w282068510,Pasaje Los Jacintos
w35101890,Las Amatistas,w1093961732,Las Amatistas
w35101890,Las Amatistas,w427828149,Calle Brillantes
w35101890,Las Amatistas,w416503201,
w35101890,Las Amatistas,w34861544,Esmeraldas
w35101892,Los Jaspes,w282068511,Avenida Mexico
w35101892,Los Jaspes,w1093961732,Las Amatistas
w35101892,Los Jaspes,w314360440,Avenida Mexico
w35101892,Los Jaspes,w571370500,Pasaje los Jaspes
w35101892,Los Jaspes,w129897451,Prolongación Andahuaylas
w35101892,Los Jaspes,w134920923,Jirón Los Corales
w35102258,Jirón Alberto Barton,w654051916,Jirón Alberto Barton
w35102258,Jirón Alberto Barton,w408466951,Calle Raul Rebagliatti
w35102258,Jirón Alberto Barton,w35102269,Eduardo Bello
w35102258,Jirón Alberto Barton,w35102268,Jirón Oswaldo Hercelles
w35102258,Jirón Alberto Barton,w35102272,Manuel Mendez
w35102258,Jirón Alberto Barton,w684287670,Enrique León Garcia
w35102258,Jirón Alberto Barton,w35106638,Calle Raul Rebagliatti
w35102260,Calle Jose Bazzochi,w654051916,Jirón Alberto Barton
w35102260,Calle Jose Bazzochi,w119996447,Enrique León Garcia
w35102260,Calle Jose Bazzochi,w35102261,Calle Constantino Carvallo
w35102261,Calle Constantino Carvallo,w35102260,Calle Jose Bazzochi
w35102261,Calle Constantino Carvallo,w39441400,Avenida Canadá
w35102262,Calle Max Gonzales Olaechea,w35102264,Calle Constantino Carvallo
w35102262,Calle Max Gonzales Olaechea,w654051916,Jirón Alberto Barton
w35102262,Calle Max Gonzales Olaechea,w119996447,Enrique León Garcia
