full_id,highway,name
w4832869,primary,Avenida Manco Cápac
w24295160,primary,Avenida Mexico
w24305428,primary,Avenida Mexico
w28796818,primary,Avenida Aviación
w28797435,primary,Avenida Circunvalación
w28797591,primary,Avenida Manco Cápac
w28798380,secondary,Avenida Nicolás Arriola
w28798397,secondary,Avenida Nicolás Arriola
w34188453,secondary,Avenida José Galvez Barrenechea
w34188463,secondary,Avenida José Galvez Barrenechea
w34188651,secondary,Avenida Del Aire
w34861540,residential,Calle Brillantes
w34861542,tertiary,Avenida de Las Américas
w34861543,residential,Calle Los Opalos
w34861544,tertiary,Esmeraldas
w34861550,tertiary,Avenida Palermo
w34861551,tertiary,Avenida Palermo
w34861552,residential,Espinoza
w34861553,residential,Calle Las Ágatas
w34861554,residential,Los Brillantes
w34861555,residential,Los Zafiros
w34861556,residential,Las Turquesas
w34861557,residential,
w34861561,residential,Los Rubies
w34861562,residential,Jirón Topacios
w35101887,secondary,Avenida Paseo de la República
w35101888,residential,Jirón Topacios
w35101889,residential,Calle Los Topacios
w35101890,residential,Las Amatistas
w35101892,residential,Los Jaspes
w35102258,residential,Jirón Alberto Barton
w35102260,residential,Calle Jose Bazzochi
w35102261,residential,Calle Constantino Carvallo
w35102262,residential,Calle Max Gonzales Olaechea
w35102263,residential,Calle Ricardo Flores
w35102264,residential,Calle Constantino Carvallo
w35102265,residential,Calle Julian Arce
w35102266,residential,Calle Francisco Almenara
w35102267,residential,Julio Faldini
w35102268,residential,Jirón Oswaldo Hercelles
w35102269,residential,Eduardo Bello
w35102271,residential,Caravedo
w35102272,residential,Manuel Mendez
w35106615,tertiary,Avenida Esteban Campodónico
w35106617,tertiary,Avenida San Eugenio
w35106618,tertiary,Avenida San Eugenio
w35106619,residential,Calle Miguel Checa
w35106621,tertiary,Avenida Santa Catalina
w35106622,tertiary,Avenida Santa Catalina
w35106624,residential,Manuel Arrisueño
w35106625,residential,Jirón Antonion de Zela
w35106626,residential,Calle Remigio García
w35106628,residential,Calle Carmelino
w35106629,residential,Calle Manuel Vildoso
w35106630,residential,Calle Pedro Bertonelli
w35106631,residential,Valderrama
w35106632,residential,
w35106636,residential,De la Puente
w35106637,residential,Calle Odriozola
w35106638,residential,Calle Raul Rebagliatti
w35106639,tertiary,Calle Carlos Villarán
w35116252,residential,Parque Coronel Luna y Peralta
w35116254,residential,Calle Juan Voto Bernales
w35116257,residential,Jirón Jose de Rivadeneyra
w35116258,residential,Sumaran
w35116260,residential,Calle Raimundo Carcamo
w35116262,residential,Calle José Choquehuanca
w35116264,residential,Ismodes
w35116266,residential,Astete
w35116267,residential,General Ayala
w35116338,residential,Avenida Nicolás Arriola
w35116339,residential,Jirón Jose de Rivadeneyra
w35116340,residential,Roncal
w35116341,residential,Calle Luis Espejo
w35116342,residential,Patricio Ariarte
w35116343,residential,Calle Mariano Pacheco
w35116344,residential,Calle Raimundo Carcamo
w35116345,residential,Manzanares
w35116346,residential,Trujillo
w35116347,tertiary,Avenida Nicolás Arriola
w35116348,tertiary,Calle Solidaridad
w35116349,tertiary,Calle Solidaridad
w35116488,secondary,Prolongación Parinacochas
w35116489,secondary,Avenida Prolongación Parinacochas
w35116490,residential,Coronel Casimiro Negrón
w35116491,residential,Calle General Antonio de la Guerra
w35116492,residential,Jose M. Cortez
w35116493,residential,Nicolas de la Barra
w35116495,residential,Calle José Sannoni
w35116496,residential,Calle Bateria Maipu
w35116498,residential,Calle Federico Barreto
w35116499,residential,La Merced
w35116500,residential,Calle Bateria Maipu
w35116501,residential,Bateria Independencia
w35116502,residential,Torre Junín
w35116503,residential,Marcelino Varela
w35116505,residential,Calle Juan Carlos Vizcardo y Guzmán
w35139450,residential,Calle Carlos Lopez Aldana
w35139451,residential,Jirón Cornelio Borda
w35139452,residential,Marcelino Varela
w35139453,residential,Batería Abtao
w35139458,residential,Avenida Nicolás Arriola
w35139459,residential,Calle Lamas
w35139461,residential,Calle Moyobamba
w35139462,residential,Calle 3
w35139463,residential,Calle 2
w35139464,residential,Calle 1
w35139465,residential,Juan Cáceres
w35139466,residential,Rioja
w35139467,residential,Calle Rioja
w35139468,residential,Tarapoto
w35139469,residential,Calle Saposoa
w35139471,residential,Calle JuanJui
